species	gene	segment	bad	good
AnasPlatyrhynchos	TRB	Joining	TRBJ1-1	TRBJ1
AnasPlatyrhynchos	TRB	Joining	TRBJ!	TRBJ1
AnasPlatyrhynchos	TRB	Joining	TRBJ2-1	TRBJ2
AnasPlatyrhynchos	TRB	Joining	TRBJ3-1	TRBJ3
AnasPlatyrhynchos	TRB	Joining	TRBJ4-1	TRBJ4
AnasPlatyrhynchos	TRB	Joining	TRBJ5-1	TRBJ5
AnasPlatyrhynchos	TRB	Variable	TRBV1-1	TRBV1
AnasPlatyrhynchos	TRB	Variable	TRBV!	TRBV1
AnasPlatyrhynchos	TRB	Variable	TRBV2-1	TRBV2
AnasPlatyrhynchos	TRB	Variable	TRBV3-1	TRBV3
BosTaurus	TRA	Joining	TRAJ1-1	TRAJ1
BosTaurus	TRA	Joining	TRAJ!	TRAJ1
BosTaurus	TRA	Joining	TRAJ10-1	TRAJ10
BosTaurus	TRA	Joining	TRAJ11-1	TRAJ11
BosTaurus	TRA	Joining	TRAJ1!	TRAJ11
BosTaurus	TRA	Joining	TRAJ12-1	TRAJ12
BosTaurus	TRA	Joining	TRAJ13-1	TRAJ13
BosTaurus	TRA	Joining	TRAJ14-1	TRAJ14
BosTaurus	TRA	Joining	TRAJ15-1	TRAJ15
BosTaurus	TRA	Joining	TRAJ16-1	TRAJ16
BosTaurus	TRA	Joining	TRAJ17-1	TRAJ17
BosTaurus	TRA	Joining	TRAJ18-1	TRAJ18
BosTaurus	TRA	Joining	TRAJ19-1	TRAJ19
BosTaurus	TRA	Joining	TRAJ2-1	TRAJ2
BosTaurus	TRA	Joining	TRAJ20-1	TRAJ20
BosTaurus	TRA	Joining	TRAJ21-1	TRAJ21
BosTaurus	TRA	Joining	TRAJ2!	TRAJ21
BosTaurus	TRA	Joining	TRAJ22-1	TRAJ22
BosTaurus	TRA	Joining	TRAJ23-1	TRAJ23
BosTaurus	TRA	Joining	TRAJ24-1	TRAJ24
BosTaurus	TRA	Joining	TRAJ25-1	TRAJ25
BosTaurus	TRA	Joining	TRAJ26-1	TRAJ26
BosTaurus	TRA	Joining	TRAJ27-1	TRAJ27
BosTaurus	TRA	Joining	TRAJ28-1	TRAJ28
BosTaurus	TRA	Joining	TRAJ29-1	TRAJ29
BosTaurus	TRA	Joining	TRAJ3-1	TRAJ3
BosTaurus	TRA	Joining	TRAJ31-1	TRAJ31
BosTaurus	TRA	Joining	TRAJ3!	TRAJ31
BosTaurus	TRA	Joining	TRAJ32-1	TRAJ32
BosTaurus	TRA	Joining	TRAJ33-1	TRAJ33
BosTaurus	TRA	Joining	TRAJ34-1	TRAJ34
BosTaurus	TRA	Joining	TRAJ35-1	TRAJ35
BosTaurus	TRA	Joining	TRAJ36-1	TRAJ36
BosTaurus	TRA	Joining	TRAJ37-1	TRAJ37
BosTaurus	TRA	Joining	TRAJ38-1	TRAJ38
BosTaurus	TRA	Joining	TRAJ39-1	TRAJ39
BosTaurus	TRA	Joining	TRAJ4-1	TRAJ4
BosTaurus	TRA	Joining	TRAJ40-1	TRAJ40
BosTaurus	TRA	Joining	TRAJ41-1	TRAJ41
BosTaurus	TRA	Joining	TRAJ4!	TRAJ41
BosTaurus	TRA	Joining	TRAJ42-1	TRAJ42
BosTaurus	TRA	Joining	TRAJ43-1	TRAJ43
BosTaurus	TRA	Joining	TRAJ44-1	TRAJ44
BosTaurus	TRA	Joining	TRAJ45-1	TRAJ45
BosTaurus	TRA	Joining	TRAJ46-1	TRAJ46
BosTaurus	TRA	Joining	TRAJ47-1	TRAJ47
BosTaurus	TRA	Joining	TRAJ48-1	TRAJ48
BosTaurus	TRA	Joining	TRAJ49-1	TRAJ49
BosTaurus	TRA	Joining	TRAJ5-1	TRAJ5
BosTaurus	TRA	Joining	TRAJ50-1	TRAJ50
BosTaurus	TRA	Joining	TRAJ51-1	TRAJ51
BosTaurus	TRA	Joining	TRAJ5!	TRAJ51
BosTaurus	TRA	Joining	TRAJ6-1	TRAJ6
BosTaurus	TRA	Joining	TRAJ7-1	TRAJ7
BosTaurus	TRA	Joining	TRAJ8-1	TRAJ8
BosTaurus	TRA	Joining	TRAJ9-1	TRAJ9
BosTaurus	TRD	Diversity	TRDD1-1	TRDD1
BosTaurus	TRD	Diversity	TRDD!	TRDD1
BosTaurus	TRD	Diversity	TRDD2-1	TRDD2
BosTaurus	TRD	Diversity	TRDD3-1	TRDD3
BosTaurus	TRD	Diversity	TRDD4-1	TRDD4
BosTaurus	TRD	Diversity	TRDD5-1	TRDD5
BosTaurus	TRD	Joining	TRDJ1-1	TRDJ1
BosTaurus	TRD	Joining	TRDJ!	TRDJ1
BosTaurus	TRD	Joining	TRDJ2-1	TRDJ2
BosTaurus	TRD	Joining	TRDJ3-1	TRDJ3
BosTaurus	TRD	Variable	TRDV1S16-1	TRDV1S16
BosTaurus	TRD	Variable	TRDV1S16-1	TRDV1S16
BosTaurus	TRD	Variable	TRDV1S31-1	TRDV1S31
BosTaurus	TRD	Variable	TRDV1S3!	TRDV1S31
BosTaurus	TRG	Joining	TRGJ1-!	TRGJ1-1
BosTaurus	TRG	Joining	TRGJ2-!	TRGJ2-1
BosTaurus	TRG	Joining	TRGJ2-!	TRGJ2-1
BosTaurus	TRG	Joining	TRGJ3-!	TRGJ3-1
BosTaurus	TRG	Joining	TRGJ4-!	TRGJ4-1
BosTaurus	TRG	Joining	TRGJ5-!	TRGJ5-1
BosTaurus	TRG	Joining	TRGJ6-!	TRGJ6-1
BosTaurus	TRG	Variable	TRGV1-!	TRGV1-1
BosTaurus	TRG	Variable	TRGV1-!	TRGV1-1
BosTaurus	TRG	Variable	TRGV1-!	TRGV1-1
BosTaurus	TRG	Variable	TRGV10-!	TRGV10-1
BosTaurus	TRG	Variable	TRGV2-!	TRGV2-1
BosTaurus	TRG	Variable	TRGV3-!	TRGV3-1
BosTaurus	TRG	Variable	TRGV3-!	TRGV3-1
BosTaurus	TRG	Variable	TRGV4-!	TRGV4-1
BosTaurus	TRG	Variable	TRGV5-!	TRGV5-1
BosTaurus	TRG	Variable	TRGV5-!	TRGV5-1
BosTaurus	TRG	Variable	TRGV5-!	TRGV5-1
BosTaurus	TRG	Variable	TRGV5-!	TRGV5-1
BosTaurus	TRG	Variable	TRGV5-!	TRGV5-1
BosTaurus	TRG	Variable	TRGV6-!	TRGV6-1
BosTaurus	TRG	Variable	TRGV6-!	TRGV6-1
BosTaurus	TRG	Variable	TRGV7-!	TRGV7-1
BosTaurus	TRG	Variable	TRGV7-!	TRGV7-1
BosTaurus	TRG	Variable	TRGV8-!	TRGV8-1
BosTaurus	TRG	Variable	TRGV9-!	TRGV9-1
