species	gene	segment	bad	good
CamelusDromedarius	TRD	Variable	TRDV1S1-1	TRDV1S1
CamelusDromedarius	TRD	Variable	TRDV1S!	TRDV1S1
CamelusDromedarius	TRD	Variable	TRDV1S3-1	TRDV1S3
CamelusDromedarius	TRD	Variable	TRDV1S6-1	TRDV1S6
CamelusDromedarius	TRD	Variable	TRDV2S1-1	TRDV2S1
CamelusDromedarius	TRD	Variable	TRDV2S!	TRDV2S1
CamelusDromedarius	TRD	Variable	TRDV2S2-1	TRDV2S2
CamelusDromedarius	TRD	Variable	TRDV2S3-1	TRDV2S3
CamelusDromedarius	TRD	Variable	TRDV4S1-1	TRDV4S1
CamelusDromedarius	TRD	Variable	TRDV4S!	TRDV4S1
CamelusDromedarius	TRG	Joining	TRGJ1-!	TRGJ1-1
CamelusDromedarius	TRG	Joining	TRGJ2-!	TRGJ2-1
CamelusDromedarius	TRG	Variable	TRGV1-1	TRGV1
CamelusDromedarius	TRG	Variable	TRGV!	TRGV1
CamelusDromedarius	TRG	Variable	TRGV2-1	TRGV2
CanisLupusFamiliaris	TRB	Diversity	TRBD1-1	TRBD1
CanisLupusFamiliaris	TRB	Diversity	TRBD!	TRBD1
CanisLupusFamiliaris	TRB	Diversity	TRBD2-1	TRBD2
CanisLupusFamiliaris	TRB	Joining	TRBJ1-!	TRBJ1-1
CanisLupusFamiliaris	TRB	Joining	TRBJ2-!	TRBJ2-1
CanisLupusFamiliaris	TRB	Variable	TRBV1-1	TRBV1
CanisLupusFamiliaris	TRB	Variable	TRBV!	TRBV1
CanisLupusFamiliaris	TRB	Variable	TRBV10-1	TRBV10
CanisLupusFamiliaris	TRB	Variable	TRBV11-1	TRBV11
CanisLupusFamiliaris	TRB	Variable	TRBV1!	TRBV11
CanisLupusFamiliaris	TRB	Variable	TRBV12-!	TRBV12-1
CanisLupusFamiliaris	TRB	Variable	TRBV15-1	TRBV15
CanisLupusFamiliaris	TRB	Variable	TRBV16-1	TRBV16
CanisLupusFamiliaris	TRB	Variable	TRBV18-1	TRBV18
CanisLupusFamiliaris	TRB	Variable	TRBV19-1	TRBV19
CanisLupusFamiliaris	TRB	Variable	TRBV2-!	TRBV2-1
CanisLupusFamiliaris	TRB	Variable	TRBV20-1	TRBV20
CanisLupusFamiliaris	TRB	Variable	TRBV21-1	TRBV21
CanisLupusFamiliaris	TRB	Variable	TRBV2!	TRBV21
CanisLupusFamiliaris	TRB	Variable	TRBV22-1	TRBV22
CanisLupusFamiliaris	TRB	Variable	TRBV24-1	TRBV24
CanisLupusFamiliaris	TRB	Variable	TRBV25-1	TRBV25
CanisLupusFamiliaris	TRB	Variable	TRBV26-1	TRBV26
CanisLupusFamiliaris	TRB	Variable	TRBV27-1	TRBV27
CanisLupusFamiliaris	TRB	Variable	TRBV28-1	TRBV28
CanisLupusFamiliaris	TRB	Variable	TRBV29-1	TRBV29
CanisLupusFamiliaris	TRB	Variable	TRBV3-!	TRBV3-1
CanisLupusFamiliaris	TRB	Variable	TRBV30-1	TRBV30
CanisLupusFamiliaris	TRB	Variable	TRBV4-!	TRBV4-1
CanisLupusFamiliaris	TRB	Variable	TRBV6-1	TRBV6
CanisLupusFamiliaris	TRB	Variable	TRBV7-1	TRBV7
CanisLupusFamiliaris	TRB	Variable	TRBV8-1	TRBV8
CanisLupusFamiliaris	TRG	Joining	TRGJ4-!	TRGJ4-1
CanisLupusFamiliaris	TRG	Joining	TRGJ6-!	TRGJ6-1
CanisLupusFamiliaris	TRG	Joining	TRGJ7-!	TRGJ7-1
CanisLupusFamiliaris	TRG	Joining	TRGJ8-!	TRGJ8-1
CanisLupusFamiliaris	TRG	Variable	TRGV2-!	TRGV2-1
CanisLupusFamiliaris	TRG	Variable	TRGV4-!	TRGV4-1
CanisLupusFamiliaris	TRG	Variable	TRGV6-!	TRGV6-1
DanioRerio	IGH	Diversity	IGHD1-!	IGHD1-1
DanioRerio	IGH	Diversity	IGHD2-!	IGHD2-1
DanioRerio	IGH	Joining	IGHJ1-!	IGHJ1-1
DanioRerio	IGH	Joining	IGHJ2-!	IGHJ2-1
DanioRerio	IGI	Joining	IGIJ1-1	IGIJ1
DanioRerio	IGI	Joining	IGIJ!	IGIJ1
DanioRerio	IGI	Joining	IGIJ3-1	IGIJ3
DanioRerio	IGI	Joining	IGIJ4-1	IGIJ4
DanioRerio	IGI	Joining	IGIJ5-1	IGIJ5
DanioRerio	IGI	Joining	IGIJ6S1-1	IGIJ6S1
DanioRerio	IGI	Joining	IGIJ6S!	IGIJ6S1
DanioRerio	IGI	Joining	IGIJ7S1-1	IGIJ7S1
DanioRerio	IGI	Joining	IGIJ7S!	IGIJ7S1
DanioRerio	IGI	Joining	IGIJ8S1-1	IGIJ8S1
DanioRerio	IGI	Joining	IGIJ8S!	IGIJ8S1
GallusGallus	TRB	Joining	TRBJ1-1	TRBJ1
GallusGallus	TRB	Joining	TRBJ!	TRBJ1
GallusGallus	TRB	Joining	TRBJ3-1	TRBJ3
GallusGallus	TRB	Joining	TRBJ4-1	TRBJ4
GallusGallus	TRB	Joining	TRBJ5-1	TRBJ5
GallusGallus	TRB	Variable	TRBV1-1	TRBV1
GallusGallus	TRB	Variable	TRBV!	TRBV1
GallusGallus	TRB	Variable	TRBV1-1	TRBV1
GallusGallus	TRB	Variable	TRBV!	TRBV1
GallusGallus	TRB	Variable	TRBV1-1	TRBV1
GallusGallus	TRB	Variable	TRBV!	TRBV1
GallusGallus	TRB	Variable	TRBV1-1	TRBV1
GallusGallus	TRB	Variable	TRBV!	TRBV1
GallusGallus	TRB	Variable	TRBV1-1	TRBV1
GallusGallus	TRB	Variable	TRBV!	TRBV1
GallusGallus	TRB	Variable	TRBV1-1	TRBV1
GallusGallus	TRB	Variable	TRBV!	TRBV1
GallusGallus	TRB	Variable	TRBV1-1	TRBV1
GallusGallus	TRB	Variable	TRBV!	TRBV1
GallusGallus	TRB	Variable	TRBV1-1	TRBV1
GallusGallus	TRB	Variable	TRBV!	TRBV1
GallusGallus	TRB	Variable	TRBV1-1	TRBV1
GallusGallus	TRB	Variable	TRBV!	TRBV1
GallusGallus	TRB	Variable	TRBV2-1	TRBV2
GallusGallus	TRB	Variable	TRBV2-1	TRBV2
GallusGallus	TRB	Variable	TRBV2-1	TRBV2
GallusGallus	TRB	Variable	TRBV2-1	TRBV2
HomoSapiens	IGH	Diversity	IGHD1-!	IGHD1-1
HomoSapiens	IGH	Diversity	IGHD1	IGHD1/OR15-1a
HomoSapiens	IGH	Diversity	IGOR15-1a	IGHD1/OR15-1a
HomoSapiens	IGH	Diversity	IGHOR15-1a	IGHD1/OR15-1a
HomoSapiens	IGH	Diversity	IGHOR1	IGHD1/OR15-1a
HomoSapiens	IGH	Diversity	IGHD1_OR15-1a	IGHD1/OR15-1a
HomoSapiens	IGH	Diversity	IGHD1	IGHD1/OR15-1b
HomoSapiens	IGH	Diversity	IGOR15-1b	IGHD1/OR15-1b
HomoSapiens	IGH	Diversity	IGHOR15-1b	IGHD1/OR15-1b
HomoSapiens	IGH	Diversity	IGHOR1	IGHD1/OR15-1b
HomoSapiens	IGH	Diversity	IGHD1_OR15-1b	IGHD1/OR15-1b
HomoSapiens	IGH	Diversity	IGHD2-2!	IGHD2-21
HomoSapiens	IGH	Diversity	IGHD2-2!	IGHD2-21
HomoSapiens	IGH	Diversity	IGHD2	IGHD2/OR15-2a
HomoSapiens	IGH	Diversity	IGOR15-2a	IGHD2/OR15-2a
HomoSapiens	IGH	Diversity	IGHOR15-2a	IGHD2/OR15-2a
HomoSapiens	IGH	Diversity	IGHOR2	IGHD2/OR15-2a
HomoSapiens	IGH	Diversity	IGHD2_OR15-2a	IGHD2/OR15-2a
HomoSapiens	IGH	Diversity	IGHD2	IGHD2/OR15-2b
HomoSapiens	IGH	Diversity	IGOR15-2b	IGHD2/OR15-2b
HomoSapiens	IGH	Diversity	IGHOR15-2b	IGHD2/OR15-2b
HomoSapiens	IGH	Diversity	IGHOR2	IGHD2/OR15-2b
HomoSapiens	IGH	Diversity	IGHD2_OR15-2b	IGHD2/OR15-2b
HomoSapiens	IGH	Diversity	IGHD3	IGHD3/OR15-3a
HomoSapiens	IGH	Diversity	IGOR15-3a	IGHD3/OR15-3a
HomoSapiens	IGH	Diversity	IGHOR15-3a	IGHD3/OR15-3a
HomoSapiens	IGH	Diversity	IGHOR3	IGHD3/OR15-3a
HomoSapiens	IGH	Diversity	IGHD3_OR15-3a	IGHD3/OR15-3a
HomoSapiens	IGH	Diversity	IGHD3	IGHD3/OR15-3b
HomoSapiens	IGH	Diversity	IGOR15-3b	IGHD3/OR15-3b
HomoSapiens	IGH	Diversity	IGHOR15-3b	IGHD3/OR15-3b
HomoSapiens	IGH	Diversity	IGHOR3	IGHD3/OR15-3b
HomoSapiens	IGH	Diversity	IGHD3_OR15-3b	IGHD3/OR15-3b
HomoSapiens	IGH	Diversity	IGHD4-1!	IGHD4-11
HomoSapiens	IGH	Diversity	IGHD4	IGHD4/OR15-4a
HomoSapiens	IGH	Diversity	IGOR15-4a	IGHD4/OR15-4a
HomoSapiens	IGH	Diversity	IGHOR15-4a	IGHD4/OR15-4a
HomoSapiens	IGH	Diversity	IGHOR4	IGHD4/OR15-4a
HomoSapiens	IGH	Diversity	IGHD4_OR15-4a	IGHD4/OR15-4a
HomoSapiens	IGH	Diversity	IGHD4	IGHD4/OR15-4b
HomoSapiens	IGH	Diversity	IGOR15-4b	IGHD4/OR15-4b
HomoSapiens	IGH	Diversity	IGHOR15-4b	IGHD4/OR15-4b
HomoSapiens	IGH	Diversity	IGHOR4	IGHD4/OR15-4b
HomoSapiens	IGH	Diversity	IGHD4_OR15-4b	IGHD4/OR15-4b
HomoSapiens	IGH	Diversity	IGHD5	IGHD5/OR15-5a
HomoSapiens	IGH	Diversity	IGOR15-5a	IGHD5/OR15-5a
HomoSapiens	IGH	Diversity	IGHOR15-5a	IGHD5/OR15-5a
HomoSapiens	IGH	Diversity	IGHOR5	IGHD5/OR15-5a
HomoSapiens	IGH	Diversity	IGHD5_OR15-5a	IGHD5/OR15-5a
HomoSapiens	IGH	Diversity	IGHD5	IGHD5/OR15-5b
HomoSapiens	IGH	Diversity	IGOR15-5b	IGHD5/OR15-5b
HomoSapiens	IGH	Diversity	IGHOR15-5b	IGHD5/OR15-5b
HomoSapiens	IGH	Diversity	IGHOR5	IGHD5/OR15-5b
HomoSapiens	IGH	Diversity	IGHD5_OR15-5b	IGHD5/OR15-5b
HomoSapiens	IGH	Joining	IGHJ1-1	IGHJ1
HomoSapiens	IGH	Joining	IGHJ!	IGHJ1
HomoSapiens	IGH	Joining	IGHJ2-1	IGHJ2
HomoSapiens	IGH	Joining	IGHJ3-1	IGHJ3
HomoSapiens	IGH	Joining	IGHJ3-1	IGHJ3
HomoSapiens	IGH	Joining	IGHJ4-1	IGHJ4
HomoSapiens	IGH	Joining	IGHJ4-1	IGHJ4
HomoSapiens	IGH	Joining	IGHJ4-1	IGHJ4
HomoSapiens	IGH	Joining	IGHJ5-1	IGHJ5
HomoSapiens	IGH	Joining	IGHJ5-1	IGHJ5
HomoSapiens	IGH	Joining	IGHJ6-1	IGHJ6
HomoSapiens	IGH	Joining	IGHJ6-1	IGHJ6
HomoSapiens	IGH	Joining	IGHJ6-1	IGHJ6
HomoSapiens	IGH	Joining	IGHJ6-1	IGHJ6
HomoSapiens	IGH	Variable	IGHV1-NL!	IGHV1-NL1
HomoSapiens	IGH	Variable	IGHV1/OR15-!	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGOR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHOR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1_OR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1/OR15-!	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGOR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHOR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1_OR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1/OR15-!	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGOR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHOR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1_OR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1/OR15-!	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGOR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHOR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1_OR15-1	IGHV1/OR15-1
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGOR15-2	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHOR15-2	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHV1_OR15-2	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGOR15-2	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHOR15-2	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHV1_OR15-2	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGOR15-2	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHOR15-2	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHV1_OR15-2	IGHV1/OR15-2
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGOR15-3	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHOR15-3	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHV1_OR15-3	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGOR15-3	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHOR15-3	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHV1_OR15-3	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGOR15-3	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHOR15-3	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHV1_OR15-3	IGHV1/OR15-3
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-4
HomoSapiens	IGH	Variable	IGOR15-4	IGHV1/OR15-4
HomoSapiens	IGH	Variable	IGHOR15-4	IGHV1/OR15-4
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-4
HomoSapiens	IGH	Variable	IGHV1_OR15-4	IGHV1/OR15-4
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGOR15-5	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGHOR15-5	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGHV1_OR15-5	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGOR15-5	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGHOR15-5	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGHV1_OR15-5	IGHV1/OR15-5
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR15-9
HomoSapiens	IGH	Variable	IGOR15-9	IGHV1/OR15-9
HomoSapiens	IGH	Variable	IGHOR15-9	IGHV1/OR15-9
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR15-9
HomoSapiens	IGH	Variable	IGHV1_OR15-9	IGHV1/OR15-9
HomoSapiens	IGH	Variable	IGHV1/OR21-!	IGHV1/OR21-1
HomoSapiens	IGH	Variable	IGHV1	IGHV1/OR21-1
HomoSapiens	IGH	Variable	IGOR21-1	IGHV1/OR21-1
HomoSapiens	IGH	Variable	IGHOR21-1	IGHV1/OR21-1
HomoSapiens	IGH	Variable	IGHOR1	IGHV1/OR21-1
HomoSapiens	IGH	Variable	IGHV1_OR21-1	IGHV1/OR21-1
HomoSapiens	IGH	Variable	IGHV2	IGHV2/OR16-5
HomoSapiens	IGH	Variable	IGOR16-5	IGHV2/OR16-5
HomoSapiens	IGH	Variable	IGHOR16-5	IGHV2/OR16-5
HomoSapiens	IGH	Variable	IGHOR2	IGHV2/OR16-5
HomoSapiens	IGH	Variable	IGHV2_OR16-5	IGHV2/OR16-5
HomoSapiens	IGH	Variable	IGHV3-1!	IGHV3-11
HomoSapiens	IGH	Variable	IGHV3-1!	IGHV3-11
HomoSapiens	IGH	Variable	IGHV3-1!	IGHV3-11
HomoSapiens	IGH	Variable	IGHV3-1!	IGHV3-11
HomoSapiens	IGH	Variable	IGHV3-1!	IGHV3-11
HomoSapiens	IGH	Variable	IGHV3-2!	IGHV3-21
HomoSapiens	IGH	Variable	IGHV3-2!	IGHV3-21
HomoSapiens	IGH	Variable	IGHV3-2!	IGHV3-21
HomoSapiens	IGH	Variable	IGHV3-2!	IGHV3-21
HomoSapiens	IGH	Variable	IGHV3-69-!	IGHV3-69-1
HomoSapiens	IGH	Variable	IGHV3-69-!	IGHV3-69-1
HomoSapiens	IGH	Variable	IGHV3-7!	IGHV3-71
HomoSapiens	IGH	Variable	IGHV3-7!	IGHV3-71
HomoSapiens	IGH	Variable	IGHV3-7!	IGHV3-71
HomoSapiens	IGH	Variable	IGHV3-NL!	IGHV3-NL1
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGOR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHOR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHV3_OR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGOR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHOR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHV3_OR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGOR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHOR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHV3_OR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGOR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHOR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHV3_OR15-7	IGHV3/OR15-7
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGOR16-10	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHOR16-10	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHV3_OR16-10	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGOR16-10	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHOR16-10	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHV3_OR16-10	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHV3	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGOR16-10	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHOR16-10	IGHV3/OR16-10
HomoSapiens	IGH	Variable	IGHOR3	IGHV3/OR16-10
