
Species	IMGT/GENE-DB	IMGT gene functionality	IMGT and HGNC gene definition	Number of alleles	Chromosomal localization	IMGT/LIGM-DB reference sequence(s) for allele *01	HGNC gene symbol	HGNC database	NCBI Gene	Ensembl	GenAtlas	GeneCards	UniProt
Homo sapiens	IGHA1	F	Homo sapiens immunoglobulin heavy constant alpha 1	4	14q32.33	BK063801	IGHA1	5478	3493	ENSG00000211895	2549	IGHA1	P01876
Homo sapiens	IGHA2	F	Homo sapiens immunoglobulin heavy constant alpha 2 (A2m marker)	6	14q32.33	BK063800	IGHA2	5479	3494	ENSG00000211890	275	IGHA2	P01877
Homo sapiens	IGHD	F	Homo sapiens immunoglobulin heavy constant delta	5	14q32.33	K02875 K02876 K02877 K02878 K02879 K02880 K02881 K02882	IGHD	5480	3495	ENSG00000211898	21803	IGHD	P01880
Homo sapiens	IGHD1-1	F	Homo sapiens immunoglobulin heavy diversity 1-1	1	14q32.33	X97051	IGHD1-1	5482	28510	ENSG00000236170	27489	IGHD1-1	P0DOY5
Homo sapiens	IGHD1-14	ORF	Homo sapiens immunoglobulin heavy diversity 1-14	1	14q32.33	X13972	IGHD1-14	5483	28508	ENSG00000227108	27490	IGHD1-14	
Homo sapiens	IGHD1-20	F	Homo sapiens immunoglobulin heavy diversity 1-20	1	14q32.33	X97051	IGHD1-20	5484	28507	ENSG00000237020	27491	IGHD1-20	
Homo sapiens	IGHD1-26	F	Homo sapiens immunoglobulin heavy diversity 1-26	1	14q32.33	X97051	IGHD1-26	5485	28506	ENSG00000211907	27492	IGHD1-26	
Homo sapiens	IGHD1-7	F	Homo sapiens immunoglobulin heavy diversity 1-7	1	14q32.33	X13972	IGHD1-7	5486	28509	ENSG00000237197	27493	IGHD1-7	
Homo sapiens	IGHD1/OR15-1a	ORF	Homo sapiens immunoglobulin heavy diversity 1/OR15-1a	1	15q11.2	X55575	IGHD1OR15-1A	5487	28335	ENSG00000271336	27494	IGHD1OR15-1A	
Homo sapiens	IGHD1/OR15-1b	ORF	Homo sapiens immunoglobulin heavy diversity 1/OR15-1b	1	15q11.2	X55576	IGHD1OR15-1B	5488	28334	ENSG00000270185	27495	IGHD1OR15-1B	
Homo sapiens	IGHD2-15	F	Homo sapiens immunoglobulin heavy diversity 2-15	1	14q32.33	J00234	IGHD2-15	5489	28503	ENSG00000211918	27496	IGHD2-15	
Homo sapiens	IGHD2-2	F	Homo sapiens immunoglobulin heavy diversity 2-2	3	14q32.33	J00232	IGHD2-2	5490	28505	ENSG00000211931	27497	IGHD2-2	
Homo sapiens	IGHD2-21	F	Homo sapiens immunoglobulin heavy diversity 2-21	2	14q32.33	J00235	IGHD2-21	5491	28502	ENSG00000211912	27498	IGHD2-21	
Homo sapiens	IGHD2-8	F	Homo sapiens immunoglobulin heavy diversity 2-8	2	14q32.33	X13972	IGHD2-8	5492	28504	ENSG00000211925	27499	IGHD2-8	
Homo sapiens	IGHD2/OR15-2a	ORF	Homo sapiens immunoglobulin heavy diversity 2/OR15-2a	1	15q11.2	X55577	IGHD2OR15-2A	5493	28333	ENSG00000282599	27500	IGHD2OR15-2A	
Homo sapiens	IGHD2/OR15-2b	ORF	Homo sapiens immunoglobulin heavy diversity 2/OR15-2b	1	15q11.2	X55578	IGHD2OR15-2B	5494	28332	ENSG00000282268	27501	IGHD2OR15-2B	
Homo sapiens	IGHD3-10	F	Homo sapiens immunoglobulin heavy diversity 3-10	3	14q32.33	X13972	IGHD3-10	5495	28499	ENSG00000211923	27502	IGHD3-10	
Homo sapiens	IGHD3-16	F	Homo sapiens immunoglobulin heavy diversity 3-16	3	14q32.33	X93614	IGHD3-16	5496	28498	ENSG00000211917	27503	IGHD3-16	
Homo sapiens	IGHD3-22	F	Homo sapiens immunoglobulin heavy diversity 3-22	1	14q32.33	X93616	IGHD3-22	5497	28497	ENSG00000211911	27504	IGHD3-22	
Homo sapiens	IGHD3-3	F	Homo sapiens immunoglobulin heavy diversity 3-3	2	14q32.33	X13972	IGHD3-3	5498	28501	ENSG00000211930	27505	IGHD3-3	
Homo sapiens	IGHD3-9	F	Homo sapiens immunoglobulin heavy diversity 3-9	1	14q32.33	X13972	IGHD3-9	5499	28500	ENSG00000211924	27506	IGHD3-9	
Homo sapiens	IGHD3/OR15-3a	ORF	Homo sapiens immunoglobulin heavy diversity 3/OR15-3a	1	15q11.2	X55579	IGHD3OR15-3A	5500	28331	ENSG00000282520	27507	IGHD3OR15-3A	
Homo sapiens	IGHD3/OR15-3b	ORF	Homo sapiens immunoglobulin heavy diversity 3/OR15-3b	1	15q11.2	X55580	IGHD3OR15-3B	5501	28330	ENSG00000282089	27508	IGHD3OR15-3B	
Homo sapiens	IGHD4-11	ORF	Homo sapiens immunoglobulin heavy diversity 4-11	1	14q32.33	X13972	IGHD4-11	5502	28495	ENSG00000232543	27509	IGHD4-11	
Homo sapiens	IGHD4-17	F	Homo sapiens immunoglobulin heavy diversity 4-17	1	14q32.33	X97051	IGHD4-17	5503	28494	ENSG00000227800	27510	IGHD4-17	
Homo sapiens	IGHD4-23	ORF	Homo sapiens immunoglobulin heavy diversity 4-23	1	14q32.33	X97051	IGHD4-23	5504	28493	ENSG00000227196	27511	IGHD4-23	
Homo sapiens	IGHD4-4	F	Homo sapiens immunoglobulin heavy diversity 4-4	1	14q32.33	X13972	IGHD4-4	5505	28496	ENSG00000233655	27512	IGHD4-4	
Homo sapiens	IGHD4/OR15-4a	ORF	Homo sapiens immunoglobulin heavy diversity 4/OR15-4a	1	15q11.2	X55581	IGHD4OR15-4A	5506	28329	ENSG00000271317	27513	IGHD4OR15-4A	
Homo sapiens	IGHD4/OR15-4b	ORF	Homo sapiens immunoglobulin heavy diversity 4/OR15-4b	1	15q11.2	X55582	IGHD4OR15-4B	5507	28328	ENSG00000270451	27514	IGHD4OR15-4B	
Homo sapiens	IGHD5-12	F	Homo sapiens immunoglobulin heavy diversity 5-12	1	14q32.33	X13972	IGHD5-12	5508	28491	ENSG00000211921	27515	IGHD5-12	
