
Species	IMGT/GENE-DB	IMGT gene functionality	IMGT and HGNC gene definition	Number of alleles	Chromosomal localization	IMGT/LIGM-DB reference sequence(s) for allele *01	HGNC gene symbol	HGNC database	NCBI Gene	Ensembl	GenAtlas	GeneCards	UniProt
Homo sapiens	IGHD5-18	ORF F	Homo sapiens immunoglobulin heavy diversity 5-18	2	14q32.33	X97051	IGHD5-18	5509	28490	ENSG00000211915	27516	IGHD5-18	
Homo sapiens	IGHD5-24	ORF	Homo sapiens immunoglobulin heavy diversity 5-24	1	14q32.33	X97051	IGHD5-24	5510	28489	ENSG00000211909	27517	IGHD5-24	
Homo sapiens	IGHD5-5	F	Homo sapiens immunoglobulin heavy diversity 5-5	1	14q32.33	X13972	IGHD5-5	5511	28492	ENSG00000211928	27518	IGHD5-5	
Homo sapiens	IGHD5/OR15-5a	ORF	Homo sapiens immunoglobulin heavy diversity 5/OR15-5a	1	15q11.2	X55583	IGHD5OR15-5A	5512	28327	ENSG00000270961	27519	IGHD5OR15-5A	
Homo sapiens	IGHD5/OR15-5b	ORF	Homo sapiens immunoglobulin heavy diversity 5/OR15-5b	1	15q11.2	X55584	IGHD5OR15-5B	5513	28326	ENSG00000270824	27520	IGHD5OR15-5B	
Homo sapiens	IGHD6-13	F	Homo sapiens immunoglobulin heavy diversity 6-13	1	14q32.33	X13972	IGHD6-13	5514	28487	ENSG00000211920	27521	IGHD6-13	
Homo sapiens	IGHD6-19	F	Homo sapiens immunoglobulin heavy diversity 6-19	1	14q32.33	X97051	IGHD6-19	5515	28486	ENSG00000211914	27522	IGHD6-19	
Homo sapiens	IGHD6-25	F	Homo sapiens immunoglobulin heavy diversity 6-25	1	14q32.33	X97051	IGHD6-25	5516	28485	ENSG00000225825	27523	IGHD6-25	
Homo sapiens	IGHD6-6	F	Homo sapiens immunoglobulin heavy diversity 6-6	1	14q32.33	X13972	IGHD6-6	5517	28488	ENSG00000228131	27524	IGHD6-6	
Homo sapiens	IGHD7-27	F	Homo sapiens immunoglobulin heavy diversity 7-27	1	14q32.33	J00256	IGHD7-27	5518	28484	ENSG00000236597	27525	IGHD7-27	
Homo sapiens	IGHE	F	Homo sapiens immunoglobulin heavy constant epsilon	7	14q32.33	J00222 X63693	IGHE	5522	3497	ENSG00000211891	2553	IGHE	P01854
Homo sapiens	IGHEP1	P	Homo sapiens immunoglobulin heavy constant epsilon P1	8	14q32.33	J00223	IGHEP1	5523	3498	ENSG00000253692	2554	IGHEP1	
Homo sapiens	IGHEP2	P	Homo sapiens immunoglobulin heavy constant epsilon P2	2	9p24.2-p24.1	K01241	IGHEP2	5524	3499	ENSG00000254017	4798	IGHEP2	
Homo sapiens	IGHG1	F (F)	Homo sapiens immunoglobulin heavy constant gamma 1 (G1m marker)	17	14q32.33	J00228 X52847	IGHG1	5525	3500	ENSG00000211896	2558	IGHG1	P01857
Homo sapiens	IGHG2	F	Homo sapiens immunoglobulin heavy constant gamma 2 (G2m marker)	18	14q32.33	AB006775 AB006776 J00230	IGHG2	5526	3501	ENSG00000211893	2559	IGHG2	P01859
Homo sapiens	IGHG3	P F	Homo sapiens immunoglobulin heavy constant gamma 3 (G3m marker)	30	14q32.33	D78345	IGHG3	5527	3502	ENSG00000211897	2560	IGHG3	P01860
Homo sapiens	IGHG4	P F	Homo sapiens immunoglobulin heavy constant gamma 4 (G4m marker)	10	14q32.33	IMGT000175	IGHG4	5528	3503	ENSG00000211892	2561	IGHG4	P01861
Homo sapiens	IGHG4A	P F	Homo sapiens Immunoglobulin heavy constant gamma 4A	3	14q32.33	BK063800							
Homo sapiens	IGHGP	P ORF	Homo sapiens immunoglobulin heavy constant gamma P	7	14q32.33	X06766 X52848 X52849	IGHGP	5529	3505	ENSG00000253755	2562	IGHGP	
Homo sapiens	IGHJ1	F	Homo sapiens immunoglobulin heavy joining 1	1	14q32.33	J00256	IGHJ1	5532	28483	ENSG00000211905	27526	IGHJ1	A0A0C4DH62
Homo sapiens	IGHJ1P	P	Homo sapiens immunoglobulin heavy joining 1P	2	14q32.33	J00256	IGHJ1P	5533	28482	ENSG00000227335	27527	IGHJ1P	
Homo sapiens	IGHJ2	F	Homo sapiens immunoglobulin heavy joining 2	1	14q32.33	J00256	IGHJ2	5534	28481	ENSG00000211904	27528	IGHJ2	
Homo sapiens	IGHJ2P	P	Homo sapiens immunoglobulin heavy joining 2P	2	14q32.33	J00256	IGHJ2P	5535	28480	ENSG00000237547	27529	IGHJ2P	
Homo sapiens	IGHJ3	F	Homo sapiens immunoglobulin heavy joining 3	2	14q32.33	J00256	IGHJ3	5536	28479	ENSG00000242887	27530	IGHJ3	
Homo sapiens	IGHJ3P	P	Homo sapiens immunoglobulin heavy joining 3P	3	14q32.33	J00256	IGHJ3P	5537	28478	ENSG00000237111	27531	IGHJ3P	
Homo sapiens	IGHJ4	F	Homo sapiens immunoglobulin heavy joining 4	3	14q32.33	J00256	IGHJ4	5538	28477	ENSG00000240041	27532	IGHJ4	
Homo sapiens	IGHJ5	P F	Homo sapiens immunoglobulin heavy joining 5	4	14q32.33	J00256	IGHJ5	5539	28476	ENSG00000242472	27533	IGHJ5	
Homo sapiens	IGHJ6	F	Homo sapiens immunoglobulin heavy joining 6	5	14q32.33	J00256	IGHJ6	5540	28475	ENSG00000211900	27534	IGHJ6	
Homo sapiens	IGHM	F	Homo sapiens immunoglobulin heavy constant mu	8	14q32.33	X14939 X14940	IGHM	5541	3507	ENSG00000211899	2570	IGHM	P01871
Homo sapiens	IGHV(II)-1-1	P	Homo sapiens immunoglobulin heavy variable (II)-1-1	1	14q32.33	AB019441	IGHVII-1-1	5670	28377	ENSG00000254279	26540	IGHVII-1-1	
Homo sapiens	IGHV(II)-12-1	P	Homo sapiens Immunoglobulin heavy variable (II)-12-1	2	14q32.33	BK063799							
Homo sapiens	IGHV(II)-15-1	P	Homo sapiens immunoglobulin heavy variable (II)-15-1	2	14q32.33	AB019440	IGHVII-15-1	5671	28376	ENSG00000253458	26541	IGHVII-15-1	
Homo sapiens	IGHV(II)-20-1	P	Homo sapiens immunoglobulin heavy variable (II)-20-1	3	14q32.33	IMGT000197	IGHVII-20-1	5672	28375		26542	IGHVII-20-1	
Homo sapiens	IGHV(II)-22-1	P	Homo sapiens immunoglobulin heavy variable (II)-22-1	2	14q32.33	AB019439	IGHVII-22-1	5673	28374	ENSG00000253345	26543	IGHVII-22-1	
Homo sapiens	IGHV(II)-22-1D	P	Homo sapiens immunoglobulin heavy variable (II)-22-1D	2	14q32.33	AC244492							
Homo sapiens	IGHV(II)-26-2	P	Homo sapiens immunoglobulin heavy variable (II)-26-2	1	14q32.33	AC245166	IGHVII-26-2	5674	28373	ENSG00000253482	26544	IGHVII-26-2	
Homo sapiens	IGHV(II)-28-1	P	Homo sapiens immunoglobulin heavy variable (II)-28-1	3	14q32.33	AB019439	IGHVII-28-1	5675	28372	ENSG00000253149	26545	IGHVII-28-1	
Homo sapiens	IGHV(II)-30-1	P	Homo sapiens immunoglobulin heavy variable (II)-30-1	3	14q32.33	AB019439	IGHVII-30-1	5676	28371	ENSG00000253491	26546	IGHVII-30-1	
Homo sapiens	IGHV(II)-30-21	P	Homo sapiens Immunoglobulin heavy variable (II)-30-21	3	14q32.33	AC245166	IGHVII-30-21	52400	107548099	ENSG00000283607		IGHVII-30-21	
Homo sapiens	IGHV(II)-30-32	P	Homo sapiens Immunoglobulin heavy variable (II)-30-32	2	14q32.33	AC244456							
Homo sapiens	IGHV(II)-30-41	P	Homo sapiens Immunoglobulin heavy variable (II)-30-41	3	14q32.33	AC244456							
Homo sapiens	IGHV(II)-30-51	P	Homo sapiens Immunoglobulin heavy variable (II)-30-51	2	14q32.33	AC244456							
Homo sapiens	IGHV(II)-31-1	P	Homo sapiens immunoglobulin heavy variable (II)-31-1	2	14q32.33	AB019439	IGHVII-31-1	5677	28370		26547	IGHVII-31-1	
Homo sapiens	IGHV(II)-33-1	P	Homo sapiens immunoglobulin heavy variable (II)-33-1	2	14q32.33	AC245166	IGHVII-33-1	5678	28369	ENSG00000254203	26548	IGHVII-33-1	
Homo sapiens	IGHV(II)-4-2		Homo sapiens Immunoglobulin heavy variable (II)-4-2	0	-								
Homo sapiens	IGHV(II)-4-4	P	Homo sapiens Immunoglobulin heavy variable (II)-4-4	1	14q32.33	BK063799							
Homo sapiens	IGHV(II)-40-1	P	Homo sapiens immunoglobulin heavy variable (II)-40-1	1	14q32.33	AB019438	IGHVII-40-1	5679	28368	ENSG00000253294	26549	IGHVII-40-1	
Homo sapiens	IGHV(II)-43-1	P	Homo sapiens immunoglobulin heavy variable (II)-43-1	3	14q32.33	AB019438	IGHVII-43-1	5680	28367	ENSG00000283195	26550	IGHVII-43-1	
Homo sapiens	IGHV(II)-43-1D	P	Homo sapiens immunoglobulin heavy variable (II)-43-1D	2	14q32.33	AC233755							
Homo sapiens	IGHV(II)-44-2	P	Homo sapiens immunoglobulin heavy variable (II)-44-2	1	14q32.33	AB019438	IGHVII-44-2	5681	28366	ENSG00000253895	26551	IGHVII-44-2	
Homo sapiens	IGHV(II)-46-1	P	Homo sapiens immunoglobulin heavy variable (II)-46-1	2	14q32.33	AB019438	IGHVII-46-1	5682	28365	ENSG00000253808	26552	IGHVII-46-1	
Homo sapiens	IGHV(II)-49-1	P	Homo sapiens immunoglobulin heavy variable (II)-49-1	1	14q32.33	AB019438	IGHVII-49-1	5683	28364	ENSG00000253386	26553	IGHVII-49-1	
Homo sapiens	IGHV(II)-51-2	P	Homo sapiens immunoglobulin heavy variable (II)-51-2	2	14q32.33	AB019438	IGHVII-51-2	5684	28363	ENSG00000253941	26554	IGHVII-51-2	
Homo sapiens	IGHV(II)-53-1	P	Homo sapiens immunoglobulin heavy variable (II)-53-1	4	14q32.33	AB019438	IGHVII-53-1	5685	28362	ENSG00000253714	26555	IGHVII-53-1	
Homo sapiens	IGHV(II)-60-1	P	Homo sapiens immunoglobulin heavy variable (II)-60-1	5	14q32.33	AB019437	IGHVII-60-1	5686	28361	ENSG00000254329	26556	IGHVII-60-1	
Homo sapiens	IGHV(II)-62-1	P	Homo sapiens immunoglobulin heavy variable (II)-62-1	4	14q32.33	AB019437	IGHVII-62-1	5687	28360	ENSG00000253747	26557	IGHVII-62-1	
Homo sapiens	IGHV(II)-65-1	P	Homo sapiens immunoglobulin heavy variable (II)-65-1	3	14q32.33	AB019437	IGHVII-65-1	5688	28359	ENSG00000253169	26558	IGHVII-65-1	
Homo sapiens	IGHV(II)-67-1	P	Homo sapiens immunoglobulin heavy variable (II)-67-1	2	14q32.33	AB019437	IGHVII-67-1	5689	28358	ENSG00000253820	26559	IGHVII-67-1	
Homo sapiens	IGHV(II)-7-1	P	Homo sapiens Immunoglobulin heavy variable (II)-7-1	1	14q32.33	BK063799							
Homo sapiens	IGHV(II)-74-1	P	Homo sapiens immunoglobulin heavy variable (II)-74-1	2	14q32.33	AB019437	IGHVII-74-1	5690	28357	ENSG00000254134	26560	IGHVII-74-1	
Homo sapiens	IGHV(II)-78-1	P	Homo sapiens immunoglobulin heavy variable (II)-78-1	2	14q32.33	AB019437	IGHVII-78-1	5691	28356	ENSG00000253674	26561	IGHVII-78-1	
Homo sapiens	IGHV(III)-10-2	P	Homo sapiens Immunoglobulin heavy variable (III)-10-2	1	14q32.33	BK063799							
Homo sapiens	IGHV(III)-11-1	P	Homo sapiens immunoglobulin heavy variable (III)-11-1	3	14q32.33	AB019440	IGHVIII-11-1	5692	28352	ENSG00000254215	26562	IGHVIII-11-1	
Homo sapiens	IGHV(III)-13-1	P	Homo sapiens immunoglobulin heavy variable (III)-13-1	2	14q32.33	AB019440	IGHVIII-13-1	5693	28351	ENSG00000253412	26563	IGHVIII-13-1	
Homo sapiens	IGHV(III)-16-1	P	Homo sapiens immunoglobulin heavy variable (III)-16-1	3	14q32.33	AB019440	IGHVIII-16-1	5694	28350	ENSG00000283948	26564	IGHVIII-16-1	
Homo sapiens	IGHV(III)-2-1	P	Homo sapiens immunoglobulin heavy variable (III)-2-1	3	14q32.33	AB019441	IGHVIII-2-1	5695	28355	ENSG00000253780	26565	IGHVIII-2-1	
Homo sapiens	IGHV(III)-22-2	P	Homo sapiens immunoglobulin heavy variable (III)-22-2	1	14q32.33	AB019439	IGHVIII-22-2	5696	28349	ENSG00000254045	26566	IGHVIII-22-2	
Homo sapiens	IGHV(III)-22-2D	P	Homo sapiens immunoglobulin heavy variable (III)-22-2D	1	14q32.33	AC244492							
Homo sapiens	IGHV(III)-25-1	P	Homo sapiens immunoglobulin heavy variable (III)-25-1	5	14q32.33	AB019439	IGHVIII-25-1	5697	28348	ENSG00000253367	26567	IGHVIII-25-1	
Homo sapiens	IGHV(III)-26-1	P	Homo sapiens immunoglobulin heavy variable (III)-26-1	2	14q32.33	AB019439	IGHVIII-26-1	5698	28347	ENSG00000253462	26568	IGHVIII-26-1	
Homo sapiens	IGHV(III)-38-1	P	Homo sapiens immunoglobulin heavy variable (III)-38-1	3	14q32.33	AB019439	IGHVIII-38-1	5699	28346	ENSG00000253989	26569	IGHVIII-38-1	
Homo sapiens	IGHV(III)-38-1D	P	Homo sapiens immunoglobulin heavy variable (III)-38-1D	1	14q32.33	AC241995							
Homo sapiens	IGHV(III)-44	P	Homo sapiens immunoglobulin heavy variable (III)-44	1	14q32.33	M99673	IGHVIII-44	5700	28345	ENSG00000283562	26570	IGHVIII-44	
Homo sapiens	IGHV(III)-44D	P	Homo sapiens immunoglobulin heavy variable (III)-44D	1	14q32.33	AC233755							
Homo sapiens	IGHV(III)-47-1	P	Homo sapiens immunoglobulin heavy variable (III)-47-1	1	14q32.33	AB019438	IGHVIII-47-1	5701	28344	ENSG00000253862	26571	IGHVIII-47-1	
Homo sapiens	IGHV(III)-5-1	P	Homo sapiens immunoglobulin heavy variable (III)-5-1	1	14q32.33	AB019440	IGHVIII-5-1	5702	28354	ENSG00000253387	26572	IGHVIII-5-1	
Homo sapiens	IGHV(III)-5-2	P	Homo sapiens immunoglobulin heavy variable (III)-5-2	1	14q32.33	AB019440	IGHVIII-5-2	5703	28353	ENSG00000254053	26573	IGHVIII-5-2	
Homo sapiens	IGHV(III)-67-2	P	Homo sapiens immunoglobulin heavy variable (III)-67-2	1	14q32.33	AB019437	IGHVIII-67-2	5705	28342	ENSG00000254036	26575	IGHVIII-67-2	
Homo sapiens	IGHV(III)-67-3	P	Homo sapiens immunoglobulin heavy variable (III)-67-3	3	14q32.33	AB019437	IGHVIII-67-3	5706	28341	ENSG00000253635	26576	IGHVIII-67-3	
Homo sapiens	IGHV(III)-67-3D	P	Homo sapiens Immunoglobulin heavy variable (III)-67-3D	1	14q32.33								
Homo sapiens	IGHV(III)-67-4	P	Homo sapiens immunoglobulin heavy variable (III)-67-4	4	14q32.33	AB019437	IGHVIII-67-4	5707	28340	ENSG00000254052	26577	IGHVIII-67-4	
Homo sapiens	IGHV(III)-67-4D	P	Homo sapiens Immunoglobulin heavy variable (III)-67-4D	1	14q32.33								
Homo sapiens	IGHV(III)-76-1	P	Homo sapiens immunoglobulin heavy variable (III)-76-1	1	14q32.33	AB019437	IGHVIII-76-1	5708	28339	ENSG00000253310	26578	IGHVIII-76-1	
Homo sapiens	IGHV(III)-82	P	Homo sapiens immunoglobulin heavy variable (III)-82	1	14q32.33	AB019437	IGHVIII-82	5709	28338	ENSG00000253303	26579	IGHVIII-82	
Homo sapiens	IGHV(III)/OR16-25	P	Homo sapiens Immunoglobulin heavy variable (III)/OR16-25	1	16p11.2	IMGT000069							
Homo sapiens	IGHV(III)/OR16-27	P	Homo sapiens Immunoglobulin heavy variable (III)/OR16-27	1	16p11.2	IMGT000069							
Homo sapiens	IGHV(III)/OR16-28	P	Homo sapiens Immunoglobulin heavy variable (III)/OR16-28	1	16p11.2	IMGT000069							
Homo sapiens	IGHV(IV)-44-1	P	Homo sapiens immunoglobulin heavy variable (IV)-44-1	2	14q32.33	AB019438	IGHVIV-44-1	5710	28337	ENSG00000253465	26580	IGHVIV-44-1	
Homo sapiens	IGHV1-12	P	Homo sapiens immunoglobulin heavy variable 1-12	3	14q32.33	X92210	IGHV1-12	5546	28471	ENSG00000254174	26488	IGHV1-12	
Homo sapiens	IGHV1-14	P	Homo sapiens immunoglobulin heavy variable 1-14	3	14q32.33	AB019440	IGHV1-14	5547	28470	ENSG00000253709	26489	IGHV1-14	
Homo sapiens	IGHV1-17	P	Homo sapiens immunoglobulin heavy variable 1-17	4	14q32.33	M99640	IGHV1-17	5548	28469	ENSG00000254046	26490	IGHV1-17	
Homo sapiens	IGHV1-18	F	Homo sapiens immunoglobulin heavy variable 1-18	4	14q32.33	M99641	IGHV1-18	5549	28468	ENSG00000211945	26424	IGHV1-18	A0A0C4DH31
Homo sapiens	IGHV1-2	F	Homo sapiens immunoglobulin heavy variable 1-2	8	14q32.33	X07448	IGHV1-2	5550	28474	ENSG00000211934	26425	IGHV1-2	P23083
Homo sapiens	IGHV1-24	F	Homo sapiens immunoglobulin heavy variable 1-24	1	14q32.33	M99642	IGHV1-24	5551	28467	ENSG00000211950	26426	IGHV1-24	A0A0C4DH33
Homo sapiens	IGHV1-3	F (F)	Homo sapiens immunoglobulin heavy variable 1-3	5	14q32.33	X62109	IGHV1-3	5552	28473	ENSG00000211935	26427	IGHV1-3	A0A0C4DH29
Homo sapiens	IGHV1-38-4	ORF	Homo sapiens immunoglobulin heavy variable 1-38-4	1	14q32.33	KF698736	&IGHV1-38-4	5560	28460		26433	&IGHV1-38-4	
Homo sapiens	IGHV1-45	F	Homo sapiens immunoglobulin heavy variable 1-45	3	14q32.33	X92209	IGHV1-45	5553	28466	ENSG00000211961	26428	IGHV1-45	A0A0A0MS14
Homo sapiens	IGHV1-46	F	Homo sapiens immunoglobulin heavy variable 1-46	4	14q32.33	X92343	IGHV1-46	5554	28465	ENSG00000211962	26429	IGHV1-46	P01743
Homo sapiens	IGHV1-58	F (F)	Homo sapiens immunoglobulin heavy variable 1-58	3	14q32.33	M29809	IGHV1-58	5555	28464	ENSG00000211968	26430	IGHV1-58	A0A0C4DH39
Homo sapiens	IGHV1-67	P	Homo sapiens immunoglobulin heavy variable 1-67	3	14q32.33	AB019437	IGHV1-67	5556	28463	ENSG00000253274	26491	IGHV1-67	
Homo sapiens	IGHV1-68	P	Homo sapiens immunoglobulin heavy variable 1-68	4	14q32.33	AB019437	IGHV1-68	5557	28462	ENSG00000253703	26492	IGHV1-68	
Homo sapiens	IGHV1-68D	P	Homo sapiens Immunoglobulin heavy variable 1-68D	2	14q32.33								
Homo sapiens	IGHV1-69	F (F)	Homo sapiens immunoglobulin heavy variable 1-69	20	14q32.33	L22582	IGHV1-69	5558	28461	ENSG00000211973	26431	IGHV1-69	P01742
Homo sapiens	IGHV1-69-2	F	Homo sapiens immunoglobulin heavy variable 1-69-2	2	14q32.33	KF698734	&IGHV1-69-2	5562	28458	ENSG00000281990	26434	&IGHV1-69-2	A0A0G2JMI3
Homo sapiens	IGHV1-69D	F	Homo sapiens immunoglobulin heavy variable 1-69D	2	14q32.33	KC713934	IGHV1-69D	49601	102723169	ENSG00000280411		IGHV1-69D	A0A0B4J2H0
Homo sapiens	IGHV1-8	F	Homo sapiens immunoglobulin heavy variable 1-8	3	14q32.33	M99637	IGHV1-8	5559	28472		26432	IGHV1-8	P0DP01
Homo sapiens	IGHV1-NL1	P	Homo sapiens immunoglobulin heavy variable 1-NL1, not localized	1	14q32.33	M13911	IGHV1-NL1					IGHV1-NL1	
Homo sapiens	IGHV1/OR15-1	ORF	Homo sapiens immunoglobulin heavy variable 1/OR15-1	4	15q11.2	Z29631	IGHV1OR15-1	5563	388077	ENSG00000270505	26435	IGHV1OR15-1	
Homo sapiens	IGHV1/OR15-2	P	Homo sapiens immunoglobulin heavy variable 1/OR15-2	3	15q11.2	L25543	IGHV1OR15-2	5564	100287128	ENSG00000259337	26493	IGHV1OR15-2	
Homo sapiens	IGHV1/OR15-3	P	Homo sapiens immunoglobulin heavy variable 1/OR15-3	3	15q11.2	Z29595	IGHV1OR15-3	5565	646370	ENSG00000271288	26436	IGHV1OR15-3	
Homo sapiens	IGHV1/OR15-4	P	Homo sapiens immunoglobulin heavy variable 1/OR15-4	1	15q11.2	Z29596	IGHV1OR15-4	5566	646379	ENSG00000270356	26494	IGHV1OR15-4	
Homo sapiens	IGHV1/OR15-5	ORF	Homo sapiens immunoglobulin heavy variable 1/OR15-5	2	15q11.2	Z29633	IGHV1OR15-5	5567	100384884		26437	IGHV1OR15-5	
Homo sapiens	IGHV1/OR15-6	P	Homo sapiens immunoglobulin heavy variable 1/OR15-6	2	15q11.2	HM855943	IGHV1OR15-6	5568	28320	ENSG00000270685	26495	IGHV1OR15-6	
Homo sapiens	IGHV1/OR15-9	ORF	Homo sapiens immunoglobulin heavy variable 1/OR15-9	1	15q11.2	L25542	IGHV1OR15-9	5569	390531	ENSG00000188403	26438	IGHV1OR15-9	
Homo sapiens	IGHV1/OR16-1	P	Homo sapiens immunoglobulin heavy variable 1/OR16-1	1	16p11.2	IMGT000069	IGHV1OR16-1	5570	28315	ENSG00000261704	26496	IGHV1OR16-1	
Homo sapiens	IGHV1/OR16-2	P	Homo sapiens immunoglobulin heavy variable 1/OR16-2	1	16p11.2	IMGT000069	IGHV1OR16-2	5571	28314	ENSG00000259852	26497	IGHV1OR16-2	
Homo sapiens	IGHV1/OR16-21	P	Homo sapiens Immunoglobulin heavy variable 1/OR16-21	1	16p11.2	IMGT000069							
Homo sapiens	IGHV1/OR16-22	P	Homo sapiens Immunoglobulin heavy variable 1/OR16-22	1	16p11.2	IMGT000069							
Homo sapiens	IGHV1/OR16-24	P	Homo sapiens Immunoglobulin heavy variable 1/OR16-24	1	16p11.2	IMGT000069							
